Ca/C	Xe/E-4mbar	mean
17.423699671877557	0.	4.706871326226304
16.958174464272076	49.55905342172592	6.176755481163477
16.49895272028396	97.79056417130921	4.12317649406686
15.5994196231605	190.34304959204968	3.8938414136152355
24.751363521130813	0.	4.506364441358442
24.088909758603155	49.55905342172592	6.166572472442026
23.435441824095903	97.79056417130921	6.386879360439604
34.781645653616046	0.	4.604071369640774
37.405222187895745	49.55905342172592	5.208365488296532
32.92805113003431	97.79056417130921	5.045742063306748
12.132663080998775	0.	7.631658257844629
12.024257810161624	16.668301745165344	5.828978308677431
11.808906700429118	49.55905342172592	5.964354393205297
8.355701405034498	0.	6.925529944959199
8.281109570134182	16.668301745165344	4.786508463403964
8.132929213462948	49.55905342172592	6.431378113290441
1.0855966442727523	0.	7.290239929240048
1.0759219272236402	16.668301745165344	5.122448657585529
1.0567024026559464	49.55905342172592	5.203804351021119
2.547733116191529	0.	5.372459362717163
2.525020256457228	16.668301745165344	5.521908402127085
