Ca/C	Xe/E-4mbar	rate
17.423699671877557	0.	13.51
16.958174464272076	49.55905342172592	9.55
16.49895272028396	97.79056417130921	16.86
15.5994196231605	190.34304959204968	17.93
24.751363521130813	0.	9.79
24.088909758603155	49.55905342172592	8.34
23.435441824095903	97.79056417130921	10.3
34.781645653616046	0.	13.08
37.405222187895745	49.55905342172592	11.23
32.92805113003431	97.79056417130921	11.18
12.132663080998775	0.	7.82
12.024257810161624	16.668301745165344	11.34
11.808906700429118	49.55905342172592	12.52
8.355701405034498	0.	8.77
8.281109570134182	16.668301745165344	15.
8.132929213462948	49.55905342172592	11.22
1.0855966442727523	0.	5.98
1.0759219272236402	16.668301745165344	11.75
1.0567024026559464	49.55905342172592	12.34
2.547733116191529	0.	9.15
2.525020256457228	16.668301745165344	12.89
