threshold	545
Ca/C	Xe/E-4mbar	mean
17.423699671877557	0.	351.98040238969975
16.958174464272076	49.55905342172592	325.91932826179817
16.49895272028396	97.79056417130921	328.5822803265432
15.5994196231605	190.34304959204968	294.1118698947516
24.751363521130813	0.	366.83948930662234
24.088909758603155	49.55905342172592	319.9930089971131
23.435441824095903	97.79056417130921	308.2616149949836
34.781645653616046	0.	356.57945126820766
37.405222187895745	49.55905342172592	303.636839860968
32.92805113003431	97.79056417130921	295.7019011973391
12.132663080998775	0.	360.11102825723907
12.024257810161624	16.668301745165344	340.20715564046185
11.808906700429118	49.55905342172592	322.61569740186843
8.355701405034498	0.	373.4955336973186
8.281109570134182	16.668301745165344	356.9141874730069
8.132929213462948	49.55905342172592	325.41831690827735
1.0855966442727523	0.	447.6701587421039
1.0759219272236402	16.668301745165344	399.6110795208398
1.0567024026559464	49.55905342172592	389.2957588283557
2.547733116191529	0.	395.3051094785013
2.525020256457228	16.668301745165344	400.96397343957653
