"{{480, 0.14812126420408703}, ErrorBar[0.004319087605707107]}"	"{{490, 0.14460269578067642}, ErrorBar[0.004946201439050574]}"	"{{500, 0.1554767981504473}, ErrorBar[0.004737243518037621]}"	"{{470, 0.15898205739945012}, ErrorBar[0.005326903061755401]}"	"{{460, 0.1539099115250153}, ErrorBar[0.00528520387357207]}"	"{{410, 0.1444776272656742}, ErrorBar[0.006181464685131999]}"	"{{430, 0.1501915301818936}, ErrorBar[0.006283596994400261]}"
"{{470, 0.16172500414577642}, ErrorBar[0.00453723489852505]}"	"{{460, 0.16017700584157393}, ErrorBar[0.004803923305229852]}"	"{{410, 0.14723943602501413}, ErrorBar[0.0054137915521877324]}"	"{{430, 0.16777295269871337}, ErrorBar[0.005390299683773862]}"
"{{480, 0.14882007486599858}, ErrorBar[0.004286442171239664]}"	"{{490, 0.14571515205361485}, ErrorBar[0.00459795463114454]}"	"{{503, 0.15422545945460603}, ErrorBar[0.004504306307075224]}"	"{{470, 0.15899566705944118}, ErrorBar[0.004519813219607926]}"	"{{460, 0.15661506951527962}, ErrorBar[0.004886007422719354]}"	"{{410, 0.15207136426652992}, ErrorBar[0.005242545211232972]}"	"{{410, 0.1605411064295669}, ErrorBar[0.005552773915546448]}"
"{{480, 0.14397755817964672}, ErrorBar[0.004205994466327023]}"	"{{490, 0.15183716864344468}, ErrorBar[0.004408009026277674]}"	"{{500, 0.15135430131635122}, ErrorBar[0.004528115555838356]}"
"{{480, 0.14454907081446114}, ErrorBar[0.0038292354366689704]}"
